system,basis,label,N,variant,raw_dim,eff_dim,eff_frac,gs_err,s_min,s_max,cond_S,h_min_abs,cond_H,h_reg_min_abs,cond_H_reg,S_singular,H_singular
H2+H4,6-31g,6-31G,2,lanczos,2,2,1.0,0.0027614348151416834,1.0,1.0,1.0,7.423411727003124,1.2148270583830796,7.423411727003122,1.2148270583830796,False,False
H2+H4,6-31g,6-31G,2,novel,4,4,1.0,0.0020528870315850156,4.754879795050961e-06,3.996989334090545,840607.8610548149,3.623074702500777e-05,992617.8439935059,3.623074702763126e-05,992617.8439216295,False,False
H2+H4,6-31g,6-31G,3,uab,3,3,1.0,0.00076961964807154,2.095726378258838e-05,2.99249607130841,142790.39966059988,0.00014966536561479817,179964.93593298344,0.00014966536561719,179964.93593010746,False,False
H2+H4,6-31g,6-31G,3,lanczos,3,3,1.0,0.0007462998327323334,1.0,1.0000000000000004,1.0000000000000004,6.772639432258441,1.3318554245632055,6.772639432258441,1.3318554245632055,False,False
H2+H4,6-31g,6-31G,3,novel,9,9,1.0,0.0006436945346095513,7.02816963614173e-10,8.982422521655232,12780600051.916693,4.95462874330233e-09,16314016299.127205,4.954629818004283e-09,16314012760.476307,False,False
H2+H4,6-31g,6-31G,4,uab,4,4,1.0,0.0002401020809497112,5.736500930622333e-07,3.9825599652186154,6942489.879081326,3.8524141820146195e-06,9307634.894301524,3.852414179498786e-06,9307634.900379898,False,False
H2+H4,6-31g,6-31G,4,lanczos,4,4,1.0,0.0002283969809848685,0.9999999999999994,1.0000000000000009,1.0000000000000016,6.019958501669294,1.4984645603145665,6.019958501669295,1.498464560314565,False,False
H2+H4,6-31g,6-31G,4,novel,16,13,0.8125,0.0005120523669628341,1.5970101878074248e-13,15.94353109648469,99833621715174.92,9.746024262000962e-13,147231014132254.28,1.4541226677233204e-08,9867922890.567173,True,False
H2+H4,6-31g,6-31G,5,uab,5,5,1.0,7.119839412261797e-05,2.1195627632095124e-08,4.9681210707426695,234393675.76073924,1.334300343769531e-07,335343796.2439333,1.334300329403665e-07,335343799.8544429,False,False
H2+H4,6-31g,6-31G,5,lanczos,5,5,1.0,6.713775395894572e-05,0.9999999999999994,1.0000000000000002,1.0000000000000009,5.3539801274172065,1.684887787003156,5.353980127417203,1.6848877870031573,False,False
H2+H4,6-31g,6-31G,5,novel,25,18,0.72,0.00048650509234349215,6.067404460537424e-17,24.865010044116982,4.098129637778351e+17,1.0746927879721013e-15,2.082653067088552e+17,1.3424004547088588e-09,166732082307.99277,True,False
H2+H4,6-31g,6-31G,6,uab,6,6,1.0,2.4507932009143474e-05,9.422008291430377e-10,5.949745511610602,6314731772.2295885,5.267213968570114e-09,10176648789.374922,5.267215884531914e-09,10176645087.595705,False,False
H2+H4,6-31g,6-31G,6,lanczos,6,6,1.0,2.144102788825819e-05,0.9999999999999994,1.0000000000000016,1.0000000000000022,4.6113139320880006,1.956254021765172,4.611313932088005,1.9562540217651683,False,False
H2+H4,6-31g,6-31G,6,novel,36,20,0.5555555555555556,0.0004846619687768339,-2.662331478968997e-15,35.73051900203671,1.342076269776653e+16,4.264181322338604e-15,7.543757597529173e+16,1.1477499158394293e-09,280269680735.34717,True,False
