system,basis,label,R,N,variant,basis_type,raw_dim,eff_dim,n_discarded,eff_frac,gs_total,E_exact,gs_err,s_min,s_max,cond_S,h_min_abs,h_max_abs,cond_H,h_reg_min_abs,cond_H_reg,n_kept_S,S_singular,H_singular
H2+H4,sto-3g,STO-3G,1.1,1,hybrid,lanczos_orthogonal,2,2,0,1.0,-3.2248385297412963,-3.2338014377420894,0.008962908000793135,1.0,1.0000000000000002,1.0000000000000002,6.693743662065033,8.985527045508254,1.3423769267459822,6.693743662065033,1.3423769267459822,2,False,False
H2+H4,sto-3g,STO-3G,1.1,1,joint,lanczos_orthogonal,1,1,0,1.0,-3.1733293571264607,-3.2338014377420894,0.0604720806156287,1.0,1.0,1.0,8.934017872893419,8.934017872893419,1.0,8.934017872893419,1.0,1,False,False
H2+H4,sto-3g,STO-3G,1.1,1,novel,lanczos_orthogonal,1,1,0,1.0,-3.1733293571264607,-3.2338014377420894,0.0604720806156287,1.0,1.0,1.0,8.934017872893419,8.934017872893419,1.0,8.934017872893419,1.0,1,False,False
H2+H4,sto-3g,STO-3G,1.1,2,hybrid,lanczos_orthogonal,6,6,0,1.0,-3.2321187463771963,-3.2338014377420894,0.0016826913648930741,0.9999999999999897,1.0000000000000089,1.0000000000000193,4.403930341833171,8.992807262144153,2.0419958001426575,4.403930341833174,2.041995800142658,6,False,False
H2+H4,sto-3g,STO-3G,1.1,2,joint,lanczos_orthogonal,2,2,0,1.0,-3.2248385297412963,-3.2338014377420894,0.008962908000793135,1.0,1.0000000000000002,1.0000000000000002,6.693743662065033,8.985527045508254,1.3423769267459822,6.693743662065033,1.3423769267459822,2,False,False
H2+H4,sto-3g,STO-3G,1.1,2,novel,lanczos_orthogonal,4,4,0,1.0,-3.225745006518789,-3.2338014377420894,0.008056431223300464,0.9999999999999929,1.0000000000000064,1.0000000000000135,6.272995866229437,8.986433522285742,1.4325584958000765,6.272995866229438,1.432558495800077,4,False,False
H2+H4,sto-3g,STO-3G,1.1,3,hybrid,lanczos_orthogonal,12,12,0,1.0,-3.232979410087381,-3.2338014377420894,0.0008220276547081795,0.9999999999990943,1.0000000000009064,1.000000000001812,3.13230241205807,8.993667925854343,2.8712642467829537,3.1323024120580634,2.8712642467829594,12,False,False
H2+H4,sto-3g,STO-3G,1.1,3,joint,lanczos_orthogonal,3,3,0,1.0,-3.231738591625845,-3.2338014377420894,0.002062846116244188,0.9999999999999998,1.0000000000000002,1.0000000000000004,5.314772687733495,8.992427107392801,1.69196833726254,5.3147726877334955,1.691968337262539,3,False,False
H2+H4,sto-3g,STO-3G,1.1,3,novel,lanczos_orthogonal,9,9,0,1.0,-3.231572927448525,-3.2338014377420894,0.002228510293564412,0.99999999999911,1.0000000000008897,1.0000000000017797,4.043902484018733,8.992261443215487,2.223659318876353,4.0439024840186955,2.2236593188763742,9,False,False
H2+H4,sto-3g,STO-3G,1.1,4,hybrid,lanczos_orthogonal,20,20,0,1.0,-3.233004087180401,-3.2338014377420894,0.0007973505616885035,0.999999999958842,1.0000000000411713,1.0000000000823293,2.5687996448262043,8.993692602947064,3.5011265363031243,2.5687996448262127,3.501126536303118,20,False,False
H2+H4,sto-3g,STO-3G,1.1,4,joint,lanczos_orthogonal,4,4,0,1.0,-3.233168459086592,-3.2338014377420894,0.0006329786554974959,0.9999999999999996,1.0000000000000004,1.0000000000000009,4.220471024770125,8.993856974853552,2.1310078714125082,4.220471024770128,2.1310078714125082,4,False,False
H2+H4,sto-3g,STO-3G,1.1,4,novel,lanczos_orthogonal,16,16,0,1.0,-3.232747334115368,-3.2338014377420894,0.0010541036267213144,0.9999999999590397,1.0000000000409717,1.000000000081932,3.1778089510950833,8.993435849881976,2.8300744281001564,3.1778089510950918,2.830074428100148,16,False,False
H2+H4,sto-3g,STO-3G,1.1,5,hybrid,lanczos_orthogonal,30,30,0,1.0,-3.2331631412636295,-3.2338014377420894,0.000638296478459921,0.9999999964148796,1.0000000035851155,1.000000007170236,2.3423756704770304,8.993851657030602,3.839628190468262,2.342375670477024,3.8396281904682703,30,False,False
H2+H4,sto-3g,STO-3G,1.1,5,joint,lanczos_orthogonal,5,5,0,1.0,-3.2336157982836475,-3.2338014377420894,0.00018563945844185525,0.9999999999999986,1.0000000000000002,1.0000000000000018,3.20074032920645,8.994304314050606,2.8100699803662414,3.2007403292064476,2.8100699803662446,5,False,False
H2+H4,sto-3g,STO-3G,1.1,5,novel,lanczos_orthogonal,25,25,0,1.0,-3.2330875636143084,-3.2338014377420894,0.0007138741277810112,0.9999999964179277,1.0000000035820666,1.000000007164139,2.797143845452005,8.993776079380261,3.2153427125328657,2.797143845452005,3.2153427125328697,25,False,False
H2+H4,sto-3g,STO-3G,1.1,6,hybrid,lanczos_orthogonal,42,42,0,1.0,-3.2332348603208594,-3.2338014377420894,0.0005665774212300079,0.9999996645961476,1.0000003354039693,1.0000006708080467,2.246289429107911,8.993923375620112,4.003902283950982,2.24628942910792,4.003902283950957,42,False,False
H2+H4,sto-3g,STO-3G,1.1,6,joint,lanczos_orthogonal,6,6,0,1.0,-3.233750741853001,-3.2338014377420894,5.069588908845901e-05,0.9999999999999986,1.0000000000000004,1.000000000000002,2.525257462734252,8.99443925761996,3.561790981851461,2.525257462734252,3.5617909818514586,6,False,False
H2+H4,sto-3g,STO-3G,1.1,6,novel,lanczos_orthogonal,36,36,0,1.0,-3.23319913930621,-3.2338014377420894,0.0006022984358793337,0.9999996651192887,1.0000003348808297,1.0000006697617654,2.3814550218840087,8.993887654543496,3.7766355324352427,2.3814550218840127,3.7766355324352325,36,False,False
H2+H4,6-31g,6-31G,1.1,1,hybrid,lanczos_orthogonal,2,2,0,1.0,-3.2574729157147253,-3.2602343505299505,0.002761434815225172,0.9999999999999997,1.0,1.0000000000000004,7.423411727003293,9.01816143148168,1.2148270583830543,7.423411727003293,1.2148270583830543,2,False,False
H2+H4,6-31g,6-31G,1.1,1,joint,lanczos_orthogonal,1,1,0,1.0,-3.2361520785686384,-3.2602343505299505,0.024082271961312074,1.0,1.0,1.0,8.996840594335596,8.996840594335596,1.0,8.996840594335596,1.0,1,False,False
