system,basis,label,N,variant,raw_dim,eff_dim_11,eff_dim_1000,eff_dim_kron,E_R11,E_R1000,E_kron,E_mono_sum,C_mono,C_rdiff,gap_identity,delta_exact,err_vs_exact_mono,err_vs_exact_rdiff,E_1000_vs_2Emono,E_kron_vs_2Emono,dt_11,dt_1000
H2+H2,6-31g,6-31G,3,joint,3,3,3,3,1.1679302516049404,1.0721018989324234,1.0721018992222369,-1.4532386029005133,2.621168854505454,0.09582835267251699,2.525340501832937,-0.7905995204862348,3.4117683749916887,0.8864278731587518,2.525340501832937,2.5253405021227504,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,4,cross_product,16,16,16,16,-2.412719339468453,-2.299282194069931,-2.2992821889059827,-2.2992821925187226,-0.1134371469497304,-0.1134371453985219,1.551208494987577e-09,-0.7905995204862348,0.6771623735365044,0.6771623750877129,-1.551208494987577e-09,3.6127398850283043e-09,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,4,joint,4,4,4,4,0.3207866795922559,0.4284308139419404,0.42843081400810346,-2.2992821925187226,2.6200688721109784,-0.1076441343496845,2.7277130064606627,-0.7905995204862348,3.410668392597213,0.6829553861365503,2.7277130064606627,2.727713006526826,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,5,cross_product,25,25,24,24,-2.939735786089998,-2.3032896324357317,-2.3032896271710293,-2.3033008207675234,-0.6364349653224748,-0.6364461536542665,1.1188331791700534e-05,-0.7905995204862348,0.15416455516376004,0.15415336683196834,1.1188331791700534e-05,1.1193596494152303e-05,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,5,joint,5,5,5,5,-0.22408604260308473,-0.8105152030566385,-0.8105152022724005,-2.3033008207675234,2.0792147781644386,0.5864291604535538,1.4927856177108847,-0.7905995204862348,2.8698142986506734,1.3770286809397887,1.492785617710885,1.492785618495123,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,6,cross_product,36,36,31,31,-3.064282686505525,-2.30326242712958,-2.3032624272886495,-2.3033654642235963,-0.7609172222819285,-0.761020259375945,0.0001030370940164893,-0.7905995204862348,0.029682298204306345,0.029579261110289856,0.0001030370940164893,0.00010303693494684296,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,6,joint,6,6,6,6,-0.8080226972181698,-1.2225772233966858,-1.2225772202777352,-2.3033654642235963,1.4953427670054267,0.41455452617851607,1.0807882408269105,-0.7905995204862348,2.2859422874916615,1.205154046664751,1.0807882408269105,1.0807882439458611,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,7,cross_product,49,48,33,33,-3.0858252094378607,-2.303362790280289,-2.30336279036968,-2.3033654642191914,-0.7824597452186692,-0.7824624191575715,2.6739389022978344e-06,-0.7905995204862348,0.008139775267565597,0.008137101328663299,2.6739389022978344e-06,2.6738495115807837e-06,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,7,joint,7,7,7,7,-1.14625552846311,-1.4143015894374473,-1.4143015890359618,-2.3033654642191914,1.1571099357560815,0.26804606097433736,0.8890638747817441,-0.7905995204862348,1.9477094562423163,1.0586455814605722,0.8890638747817441,0.8890638751832296,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,8,cross_product,64,60,35,35,-3.0915308541707036,-2.303365405290338,-2.303365405189694,-2.3033654642196617,-0.7881653899510419,-0.7881654488803655,5.892932364304215e-08,-0.7905995204862348,0.0024341305351929243,0.0024340716058692813,5.892932364304215e-08,5.902996758067047e-08,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,8,joint,8,8,8,8,-1.2857319151790878,-2.139199539707481,-2.1391995397191517,-2.3033654642196617,1.017633549040574,0.8534676245283932,0.1641659245121807,-0.7905995204862348,1.8082330695268087,1.644067145014628,0.1641659245121807,0.16416592450051004,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,9,cross_product,81,71,35,35,-3.093415159031351,-2.3033652933296986,-2.3033652933282753,-2.3033654642198114,-0.7900496948115396,-0.7900498657016524,1.7089011272730659e-07,-0.7905995204862348,0.0005498256746951924,0.0005496547845824651,1.7089011272730659e-07,1.7089153603322416e-07,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,9,joint,9,9,9,9,-1.4321434387864067,-2.2834796922253795,-2.2834796924804963,-2.3033654642198114,0.8712220254334047,0.8513362534389728,0.019885771994431867,-0.7905995204862348,1.6618215459196395,1.6419357739252076,0.019885771994431867,0.01988577173931505,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,10,cross_product,100,83,36,36,-3.0938043116692135,-2.3033654642070363,-2.3033654642027135,-2.303365464219821,-0.7904388474493924,-0.7904388474621773,1.2784884262373453e-11,-0.7905995204862348,0.00016067303684241807,0.0001606730240575338,1.2784884262373453e-11,1.7107648631053962e-11,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,10,joint,10,10,10,10,-1.8459879755868371,-2.301794431477803,-2.3017944316663965,-2.303365464219821,0.457377488632984,0.4558064558909658,0.0015710327420181969,-0.7905995204862348,1.2479770091192188,1.2464059763772006,0.0015710327420181969,0.0015710325534246117,0.7461543343877661,0.8163604784911013
