system,basis,label,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_ref,delta_vs_mono,delta_vs_dimer1000,abs_vs_mono,abs_vs_dimer1000,dropped
H2+H4,sto-3g,STO-3G,8,cross_product,64,16,-3.2770681909160286,-3.2770698193835126,-3.2770681909160286,0.0,1.6284674839717184e-06,0.0,1.6284674839717184e-06,48
H2+H4,sto-3g,STO-3G,8,joint,8,8,-3.277029836167023,-3.2770698193835126,-3.2770681909160286,3.835474900570901e-05,3.998321648968073e-05,3.835474900570901e-05,3.998321648968073e-05,0
H2+H4,sto-3g,STO-3G,8,cp_lanczos,16,16,-3.2770697606208556,-3.2770698193835126,-3.277069760620856,4.440892098500626e-16,5.8762656962585424e-08,4.440892098500626e-16,5.8762656962585424e-08,0
H2+H4,sto-3g,STO-3G,9,cross_product,81,18,-3.2770693941124183,-3.2770698193835126,-3.277069394112419,8.881784197001252e-16,4.2527109433976307e-07,8.881784197001252e-16,4.2527109433976307e-07,63
H2+H4,sto-3g,STO-3G,9,joint,9,9,-3.27705208213908,-3.2770698193835126,-3.277069394112419,1.7311973339317888e-05,1.7737244432769472e-05,1.7311973339317888e-05,1.7737244432769472e-05,0
H2+H4,sto-3g,STO-3G,9,cp_lanczos,18,18,-3.2770698134871403,-3.2770698193835126,-3.2770698134871417,1.3322676295501878e-15,5.896372279323714e-09,1.3322676295501878e-15,5.896372279323714e-09,0
H2+H4,sto-3g,STO-3G,10,cross_product,100,20,-3.2770697827975566,-3.2770698193835126,-3.2770697827975575,8.881784197001252e-16,3.658595604250081e-08,8.881784197001252e-16,3.658595604250081e-08,80
H2+H4,sto-3g,STO-3G,10,joint,10,10,-3.277057436793338,-3.2770698193835126,-3.2770697827975575,1.234600421939902e-05,1.2382590174553343e-05,1.234600421939902e-05,1.2382590174553343e-05,0
H2+H4,sto-3g,STO-3G,10,cp_lanczos,20,20,-3.277069819217838,-3.2770698193835126,-3.277069819217839,8.881784197001252e-16,1.6567458516192346e-10,8.881784197001252e-16,1.6567458516192346e-10,0
H2+H4,sto-3g,STO-3G,11,cross_product,121,22,-3.2770698190067153,-3.2770698193835126,-3.27706981900672,4.440892098500626e-15,3.7679726005990233e-10,4.440892098500626e-15,3.7679726005990233e-10,99
H2+H4,sto-3g,STO-3G,11,joint,11,11,-3.2770605428005646,-3.2770698193835126,-3.27706981900672,9.276206155206523e-06,9.276582948025691e-06,9.276206155206523e-06,9.276582948025691e-06,0
H2+H4,sto-3g,STO-3G,11,cp_lanczos,22,22,-3.277069819382511,-3.2770698193835126,-3.277069819382508,-3.1086244689504383e-15,1.0014211682118912e-12,3.1086244689504383e-15,1.0014211682118912e-12,0
H2+H4,sto-3g,STO-3G,12,cross_product,144,24,-3.2770698193835215,-3.2770698193835126,-3.2770698193835184,-3.1086244689504383e-15,-8.881784197001252e-15,3.1086244689504383e-15,8.881784197001252e-15,120
H2+H4,sto-3g,STO-3G,12,joint,12,12,-3.2770645395244835,-3.2770698193835126,-3.2770698193835184,5.27985903486794e-06,5.27985902909478e-06,5.27985903486794e-06,5.27985902909478e-06,0
H2+H4,sto-3g,STO-3G,12,cp_lanczos,24,24,-3.277069819383515,-3.2770698193835126,-3.2770698193835193,4.440892098500626e-15,-2.220446049250313e-15,4.440892098500626e-15,2.220446049250313e-15,0
H2+H2,6-31g,6-31G,1,cross_product,1,1,-2.253467934233135,-2.3033654642197887,-2.253467934233135,0.0,0.049897529986653755,0.0,0.049897529986653755,0
H2+H2,6-31g,6-31G,1,joint,1,1,-2.253467934233135,-2.3033654642197887,-2.253467934233135,0.0,0.049897529986653755,0.0,0.049897529986653755,0
H2+H2,6-31g,6-31G,1,cp_lanczos,1,1,-2.253467934233135,-2.3033654642197887,-2.253467934233135,0.0,0.049897529986653755,0.0,0.049897529986653755,0
H2+H2,6-31g,6-31G,2,cross_product,4,4,-2.295310779925541,-2.3033654642197887,-2.295310779925541,0.0,0.008054684294247938,0.0,0.008054684294247938,0
H2+H2,6-31g,6-31G,2,joint,2,2,-2.2949056601089683,-2.3033654642197887,-2.295310779925541,0.0004051198165724301,0.008459804110820368,0.0004051198165724301,0.008459804110820368,0
H2+H2,6-31g,6-31G,2,cp_lanczos,4,4,-2.2969981289049897,-2.3033654642197887,-2.2969981289049897,0.0,0.00636733531479905,0.0,0.00636733531479905,0
H2+H2,6-31g,6-31G,3,cross_product,9,9,-2.302242788763528,-2.3033654642197887,-2.3022427887635266,-1.3322676295501878e-15,0.0011226754562607688,1.3322676295501878e-15,0.0011226754562607688,0
H2+H2,6-31g,6-31G,3,joint,3,3,-2.3017428920018426,-2.3033654642197887,-2.3022427887635266,0.0004998967616840488,0.00162257221794615,0.0004998967616840488,0.00162257221794615,0
H2+H2,6-31g,6-31G,3,cp_lanczos,9,9,-2.302672698885266,-2.3033654642197887,-2.3026726988852655,-4.440892098500626e-16,0.0006927653345227824,4.440892098500626e-16,0.0006927653345227824,0
H2+H2,6-31g,6-31G,4,cross_product,16,16,-2.3033619421018865,-2.3033654642197887,-2.303361942101889,2.6645352591003757e-15,3.5221179022215665e-06,2.6645352591003757e-15,3.5221179022215665e-06,0
H2+H2,6-31g,6-31G,4,joint,4,4,-2.3027662803968534,-2.3033654642197887,-2.303361942101889,0.0005956617050357771,0.0005991838229353341,0.0005956617050357771,0.0005991838229353341,0
H2+H2,6-31g,6-31G,4,cp_lanczos,16,16,-2.3033638006987465,-2.3033654642197887,-2.3033638006987482,1.7763568394002505e-15,1.6635210422499824e-06,1.7763568394002505e-15,1.6635210422499824e-06,0
H2+H2,6-31g,6-31G,5,cross_product,25,24,-2.303365459015167,-2.3033654642197887,-2.3033654590240977,8.93063401008476e-12,5.204621622567629e-09,8.93063401008476e-12,5.204621622567629e-09,1
H2+H2,6-31g,6-31G,5,joint,5,5,-2.3032679058890864,-2.3033654642197887,-2.3033654590240977,9.755313501136342e-05,9.755833070235198e-05,9.755313501136342e-05,9.755833070235198e-05,0
H2+H2,6-31g,6-31G,5,cp_lanczos,25,25,-2.303365461774319,-2.3033654642197887,-2.3033654617743218,2.6645352591003757e-15,2.4454696045950186e-09,2.6645352591003757e-15,2.4454696045950186e-09,0
