system,basis,label,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_qkd,delta_vs_mono,delta_vs_dimer1000,abs_vs_mono,abs_vs_dimer1000
H2+H2,6-31g,6-31G,8,cross_product,64,33,-2.3033654642194805,-2.3033654642197856,-2.3033654642197825,3.019806626980426e-13,3.05089287166993e-13,3.019806626980426e-13,3.05089287166993e-13
H2+H2,6-31g,6-31G,8,joint,8,8,-2.3033652789362433,-2.3033654642197856,-2.3033654642197825,1.852835391780161e-07,1.8528354228664057e-07,1.852835391780161e-07,1.8528354228664057e-07
H2+H4,6-31g,6-31G,1,cross_product,1,1,-3.2732205843526616,-3.3512330286370284,-3.2732205843526616,0.0,0.07801244428436682,0.0,0.07801244428436682
H2+H4,6-31g,6-31G,1,joint,1,1,-3.2732205843526616,-3.3512330286370284,-3.2732205843526616,0.0,0.07801244428436682,0.0,0.07801244428436682
H2+H4,6-31g,6-31G,2,cross_product,4,4,-3.3379469770593624,-3.3512330286370284,-3.3379469770593584,-3.9968028886505635e-15,0.013286051577666047,3.9968028886505635e-15,0.013286051577666047
H2+H4,6-31g,6-31G,2,joint,2,2,-3.336999358637428,-3.3512330286370284,-3.3379469770593584,0.000947618421930585,0.014233669999600629,0.000947618421930585,0.014233669999600629
H2+H4,6-31g,6-31G,3,cross_product,9,9,-3.3475515395493587,-3.3512330286370284,-3.347551539549376,1.7319479184152442e-14,0.0036814890876697426,1.7319479184152442e-14,0.0036814890876697426
H2+H4,6-31g,6-31G,3,joint,3,3,-3.3465441943711567,-3.3512330286370284,-3.347551539549376,0.001007345178219321,0.004688834265871744,0.001007345178219321,0.004688834265871744
H2+H4,6-31g,6-31G,4,cross_product,16,16,-3.3498491465326525,-3.3512330286370284,-3.349849146529958,-2.69473332537018e-12,0.0013838821043758998,2.69473332537018e-12,0.0013838821043758998
H2+H4,6-31g,6-31G,4,joint,4,4,-3.3493722895003812,-3.3512330286370284,-3.349849146529958,0.0004768570295765606,0.0018607391366471937,0.0004768570295765606,0.0018607391366471937
